scope,rows,sites,columns,rank,residual_degrees_of_freedom,root_mean_squared_error,condition_number_x,condition_number_xtx,solver_status,climate_region,coefficients_finite,fitted_above_145,fitted_below_zero,fitted_maximum,fitted_minimum,observed_maximum,observed_minimum,residual_mean,residual_standard_deviation,residual_sum_of_squares,solver_method
national,2396553,884,1073,1073,2395480,8.988508598891373,157.13729361598837,24692.12904495734,all nine regional Cholesky solutions succeeded,,,,,,,,,,,,
Northeast,362374,158,179,179,362195,8.845307543391268,83.98884799283061,7054.126587162808,solved_normal_equations_cholesky_no_regularization,Northeast,True,0,0,67.4166321247583,18.45759481700481,115.0,0.0,4.810233182752289e-15,8.845319748082899,28351948.08456806,regional normal equations with Cholesky
Northern Rockies and Plains,89917,34,55,55,89862,6.792896740256328,77.3922558785121,5989.561269965091,solved_normal_equations_cholesky_no_regularization,Northern Rockies and Plains,True,0,0,66.2854075301555,23.2388012175344,105.0,0.0,9.586957383188423e-15,6.79293451372186,4149080.24511238,regional normal equations with Cholesky
Northwest,37820,21,42,42,37778,8.07521017317452,42.83520544240714,1834.854825293227,solved_normal_equations_cholesky_no_regularization,Northwest,True,0,0,70.04676314478901,17.511919265397914,118.0,0.0,-2.0410725228180137e-15,8.075316933755094,2466205.111474399,regional normal equations with Cholesky
Ohio Valley,314379,133,154,154,314225,8.984041310217222,74.16376076166979,5500.263410314192,solved_normal_equations_cholesky_no_regularization,Ohio Valley,True,0,0,62.3021374896546,21.14681432608289,99.0,0.0,2.0677632351149427e-15,8.984055598803202,25374471.681140468,regional normal equations with Cholesky
South,375493,128,149,149,375344,10.663185077373544,59.74482472047971,3569.444080880844,solved_normal_equations_cholesky_no_regularization,South,True,0,0,69.66254684513169,15.154751868649736,145.0,-1.0,-8.668215290218106e-16,10.663199276315169,42694874.33125588,regional normal equations with Cholesky
Southeast,368839,136,157,157,368682,9.345983355181906,90.88429695600674,8259.955433187615,solved_normal_equations_cholesky_no_regularization,Southeast,True,0,0,58.47707437715045,23.625967257296075,105.0,1.0,1.9242729968795296e-15,9.34599602466962,32217129.46681451,regional normal equations with Cholesky
Southwest,323121,96,117,117,323004,7.382515637636883,21.71746755574863,471.6483970349944,solved_normal_equations_cholesky_no_regularization,Southwest,True,0,0,65.03460646082765,25.74278636506241,120.0,0.0,-2.1694443920125416e-15,7.38252706142669,17610591.182198785,regional normal equations with Cholesky
Upper Midwest,127639,59,80,80,127559,9.092996971438025,157.13729361598837,24692.12904495734,solved_normal_equations_cholesky_no_regularization,Upper Midwest,True,0,0,64.68281131803866,18.361501227209047,112.0,0.0,4.940659898947846e-15,9.093032591626216,10553523.605684323,regional normal equations with Cholesky
West,396971,119,140,140,396831,8.723253759009083,41.56705198941866,1727.8198110910337,solved_normal_equations_cholesky_no_regularization,West,True,0,0,80.57478408873436,15.2381938711039,136.0,0.0,-1.3448674838734034e-15,8.72326474629813,30207570.229666054,regional normal equations with Cholesky
