elevated_site_day_count,non_elevated_site_day_count,period,row_weighted_proportion,scope,site_count,valid_site_day_count
2026,179424,early,0.011165610360980986,Northeast,158,181450
1306,179618,later,0.007218500585881364,Northeast,158,180924
57,45106,early,0.0012620950778291964,Northern Rockies and Plains,34,45163
243,44511,later,0.005429682263037941,Northern Rockies and Plains,34,44754
143,19004,early,0.007468532929440643,Northwest,21,19147
113,18560,later,0.006051518234884592,Northwest,21,18673
1108,155012,early,0.007097104791186267,Ohio Valley,133,156120
1320,156939,later,0.008340757871590242,Ohio Valley,133,158259
1479,187606,early,0.0078218790491049,South,128,189085
2266,184142,later,0.012156130638170035,South,128,186408
477,179320,early,0.002652991985405763,Southeast,136,179797
304,188738,later,0.0016081082510764804,Southeast,136,189042
2143,157852,early,0.013394168567767742,Southwest,96,159995
3314,159812,later,0.020315584272280324,Southwest,96,163126
511,62837,early,0.008066553008776916,Upper Midwest,59,63348
789,63502,later,0.012272324275559566,Upper Midwest,59,64291
10570,187668,early,0.05331974697081286,West,119,198238
8665,190068,later,0.04360121368871803,West,119,198733
18514,1173829,early,0.015527411156018025,national,884,1192343
18320,1185890,later,0.015213293362453393,national,884,1204210
