region,site_count,temperature_component_point_ppb,temperature_component_percentile_2_5_ppb,temperature_component_percentile_97_5_ppb,response_component_point_ppb,response_component_percentile_2_5_ppb,response_component_percentile_97_5_ppb,total_change_point_ppb,total_change_percentile_2_5_ppb,total_change_percentile_97_5_ppb,temperature_component_ppb_95pi,response_component_ppb_95pi,total_change_ppb_95pi,component_relation,point_source_path,interval_source_path
national,884,0.07427538832694225,0.04313603383350699,0.10407862508043902,0.3892144597312246,0.2817142305117871,0.5052367241466533,0.46348984805816684,0.35218962465254045,0.578610027221344,"+0.07 [0.04, 0.10]","+0.39 [0.28, 0.51]","+0.46 [0.35, 0.58]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Northeast,158,-0.06922029661773976,-0.14319441017630172,0.01007182592137585,-0.10430101173552586,-0.29289995609737574,0.08436137468956932,-0.17352130835326562,-0.36001005385843887,0.015532322006219852,"-0.07 [-0.14, 0.01]","-0.10 [-0.29, 0.08]","-0.17 [-0.36, 0.02]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Northern Rockies and Plains,34,0.37681349843667533,0.27378132193763316,0.4842005315315191,1.1913272933855197,0.6327560337664486,1.779691104427733,1.568140791822195,0.9784748710291048,2.170650130318274,"+0.38 [0.27, 0.48]","+1.19 [0.63, 1.78]","+1.57 [0.98, 2.17]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Northwest,21,0.5773782017250753,0.3271741134088898,0.7888153730651084,0.6721511374682834,-0.32481625601173975,1.6942409458695042,1.2495293391933586,0.3151666727413513,2.173922741754575,"+0.58 [0.33, 0.79]","+0.67 [-0.32, 1.69]","+1.25 [0.32, 2.17]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Ohio Valley,133,-0.14954088248681785,-0.22246685097765315,-0.07180413455939183,0.47124169329558185,0.26341829355348995,0.6831517759415328,0.321700810808764,0.1088688418911385,0.5434570030911907,"-0.15 [-0.22, -0.07]","+0.47 [0.26, 0.68]","+0.32 [0.11, 0.54]",oppose,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
South,128,0.6076024917825684,0.5319738561750162,0.681852297328614,1.3145167386216094,1.0816007946290254,1.5526451074233256,1.9221192304041779,1.6801011593232313,2.1783736690456164,"+0.61 [0.53, 0.68]","+1.31 [1.08, 1.55]","+1.92 [1.68, 2.18]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Southeast,136,-0.1491357651173928,-0.24302157483024703,-0.06993621591868789,-0.18995654500196935,-0.3777593517536239,0.019159954372138258,-0.33909231011936214,-0.5692758863862402,-0.11198706002689465,"-0.15 [-0.24, -0.07]","-0.19 [-0.38, 0.02]","-0.34 [-0.57, -0.11]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Southwest,96,0.11506701098181082,0.07654038534443962,0.15631999989963496,1.3084409458089823,0.9472101540433343,1.7190326796089284,1.4235079567907931,1.0509944676875187,1.8271036650791912,"+0.12 [0.08, 0.16]","+1.31 [0.95, 1.72]","+1.42 [1.05, 1.83]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
Upper Midwest,59,0.3648693740956723,0.2416835332800753,0.4973904728860305,1.1770611480998348,0.8977649173211024,1.4720283331199888,1.541930522195507,1.2622805324648878,1.8429591888640429,"+0.36 [0.24, 0.50]","+1.18 [0.90, 1.47]","+1.54 [1.26, 1.84]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
West,119,-0.15559491330931507,-0.25662973473201933,-0.05201011607672471,-0.7918596283402408,-1.3215455997518135,-0.2935332543720687,-0.9474545416495559,-1.517366683679344,-0.427727227116657,"-0.16 [-0.26, -0.05]","-0.79 [-1.32, -0.29]","-0.95 [-1.52, -0.43]",reinforce,outputs/analysis/primary_continuous/decomposition_point_estimates.json,outputs/bootstrap/primary_continuous/interval_summary.json
